id,name,group,area,start_date,end_date
8efe2847-8997-4d4b-8647-3252830dccb2,Bjarkey Gunnarsdóttir,Left-Green Movement,Northeast Constituency,2013,""
6295ab13-5bcb-4112-860b-a0cdd0554634,Björt Ólafsdóttir,Bright Future,Reykjavik Constituency North,2013,""
474ffa7e-58a7-4485-93f3-5331d84f0fff,Brynhildur Pétursdóttir,Bright Future,Northeast Constituency,2013,""
abbf3819-6f7c-47b8-b1d5-5681b30501e0,Brynjar Þór Níelsson,Independence Party,Reykjavik Constituency North,2013,""
c49e1ef2-48f4-4678-8c49-3d4336d5c888,Einar K. Guðfinnsson,Independence Party,Northwest Constituency,2013,""
1a13e288-3125-49b3-b730-38a6bd80392c,Elsa Lára Arnardóttir,Progressive Party,Northwest Constituency,2013,""
114e84eb-3ce6-44f0-a220-99530d849e7b,Elín Hirst,Independence Party,Southwest Constituency,2013,""
bb50fcaa-67ad-4c83-a7f8-b69c3dd45e92,Frosti Sigurjónsson,Progressive Party,Reykjavik Constituency North,2013,""
fe82f967-42ce-487d-b3c7-005b63de7f98,Gunnar Bragi Sveinsson,Progressive Party,Northwest Constituency,2013,""
64076dd3-19ae-4163-b0b8-62bb3d34f3e6,Guðlaugur Þór Þórðarson,Independence Party,Reykjavik Constituency South,2013,""
85801834-68bd-4f2d-8225-7f73f5997700,Hanna B. Kristjánsdóttir,Independence Party,Reykjavik Constituency South,2013,""
5be1adaf-b44b-433b-b662-57a9b678668a,Haraldur Benediktsson,Independence Party,Northwest Constituency,2013,""
6e373d90-8c3c-46ae-95c5-599972c4ecd1,Haraldur Einarsson,Progressive Party,South Constituency,2013,""
d2b6fc6c-8710-4149-acef-53be7560258c,Helgi Hrafn Gunnarsson,Pirate Party,Reykjavik Constituency North,2013,""
1d823738-7323-4064-8d10-3de81b273a3d,Höskuldur Þór Þórhallsson,Progressive Party,Northeast Constituency,2013,""
4b90be3b-80d0-4819-9588-9e9f0205a06e,Jóhanna M. Sigmundsdóttir,Progressive Party,Northwest Constituency,2013,""
2ff9de39-96c1-43aa-b585-6a937cc7442d,Jón Þór Ólafsson,Pirate Party,Reykjavik Constituency South,2013,""
6cdb0da5-9aa6-41db-8b6f-946354ef12b3,Karl Garðarsson,Progressive Party,Reykjavik Constituency South,2013,""
ee76903f-37b1-4869-b8b5-085035f704d7,Kristján L. Möller,Social Democratic Alliance,Northeast Constituency,2013,""
eb7443b6-69f3-45df-a80a-754aaa2207d2,Kristján Þór Júlíusson,Independence Party,Northeast Constituency,2013,""
3888ae97-0d89-4722-8e50-84406e8b80bf,Lilja R. Magnúsdóttir,Left-Green Movement,Northwest Constituency,2013,""
aab6ad20-6002-4bda-83e0-0a93860536e4,Líneik Anna Sævarsdóttir,Progressive Party,Northeast Constituency,2013,""
888ae8e5-f5b9-4f5c-b4fb-71fade0eedc5,Oddný G. Harðardóttir,Social Democratic Alliance,South Constituency,2013,""
77b6a51e-c2e8-44af-bdd1-49f84000d531,Páll Jóhann Pálsson,Progressive Party,South Constituency,2013,""
195ac97f-6c8a-48ef-98f8-c3da6463c540,Páll Valur Björnsson,Bright Future,South Constituency,2013,""
6899203f-88e1-42e4-abb1-8732cb7e79ad,Pétur H. Blöndal,Independence Party,Reykjavik Constituency South,2013,""
2570282e-1778-47c8-b07b-4d4c677df0f5,Ragnheiður E. Árnadóttir,Independence Party,South Constituency,2013,""
fe59b08c-9d32-461d-b1f2-a3bab7685114,Sigmundur D. Gunnlaugsson,Progressive Party,Northeast Constituency,2013,""
331281f0-4a77-42d1-a58b-99a091d890f0,Sigríður I. Ingadóttir,Social Democratic Alliance,Reykjavik Constituency South,2013,""
df504a8c-6868-4d10-b285-4d1a36ff89be,Sigrún Magnúsdóttir,Progressive Party,Reykjavik Constituency North,2013,""
950a57cb-0cb0-46fa-b39a-c4f05e763f0d,Sigurður I. Jóhannsson,Progressive Party,South Constituency,2013,""
2104258f-5772-40b0-bcb6-9d12fecd42ed,Silja Dögg Gunnarsdóttir,Progressive Party,South Constituency,2013,""
2b30010e-cefe-4cc1-8bca-3b0ef9acce6d,Steingrímur J. Sigfússon,Left-Green Movement,Northeast Constituency,2013,""
571bef02-072f-48e3-863d-e40f4c90eb92,Unnur Brá Konráðsdóttir,Independence Party,South Constituency,2013,""
e4c8babf-fe0a-43d1-9f9c-bf44fed35077,Valgerður Gunnarsdóttir,Independence Party,Northeast Constituency,2013,""
40799493-86d9-4b95-9a81-4d0f874997e3,Vilhjálmur Bjarnason,Independence Party,Southwest Constituency,2013,""
0db94d21-8366-4844-a5b0-2a5859ac5765,Vilhjálmur Árnason,Independence Party,South Constituency,2013,""
4965d496-bfda-4947-9f94-d8f5fe90db3f,Willum Þór Þórsson,Progressive Party,Southwest Constituency,2013,""
25750b28-1123-41ab-b353-9ef41df6458d,Árni Páll Árnason,Social Democratic Alliance,Southwest Constituency,2013,""
864918fa-fca8-4842-88f0-c944c87e0f0b,Árni Þór Sigurðsson,Left-Green Movement,Reykjavik Constituency North,2013,""
4a68d6f5-c583-4942-8a38-56a835afb5f0,Ásmundur Einar Daðason,Progressive Party,Northwest Constituency,2013,""
42c711f7-d5a8-4161-8f50-eabaddb2a60d,Ásmundur Friðriksson,Independence Party,South Constituency,2013,""
458f1816-0370-40a3-8fba-ae85d9472a9e,Óttarr Proppé,Bright Future,Reykjavik Constituency South,2013,""
cdf6ec18-a559-4a6b-a100-decca57a65e6,Þorsteinn Sæmundsson,Progressive Party,Southwest Constituency,2013,""
af834e12-8554-497a-b542-92752885e737,Þórunn Egilsdóttir,Progressive Party,Northeast Constituency,2013,""
