id,name,email,twitter,group,area,chamber,start_date,end_date
a81db6b3-ab2b-4f23-989a-fd568ec2d3ec,Abbas Bozyel,,,Nationalist Movement Party,Iğdır,Grand National Assembly,1999-04-18,2002-11-14
9580e08e-8960-42cc-9aad-e472604074a0,Abdul Ahat Andican,,,Motherland Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
8148667b-d355-41de-910d-395f0220b176,Abdulbaki Erdoğmuş,,,Motherland Party,Diyarbakır,Grand National Assembly,1999-04-18,2002-11-14
4c10fe58-7972-4e5f-94af-bf81fce4ca96,Abdulhaluk Mehmet Çay,,,Nationalist Movement Party,Çorum,Grand National Assembly,1999-04-18,2002-11-14
ac5a3150-c282-40dc-a194-b430f2735a25,Abdullah Gül,,,Virtue Party,Kayseri,Grand National Assembly,1999-04-18,2002-11-14
86642852-7c1e-4b65-ac21-ae5c0bbcffb7,Abdullah Turan Bilge,,,Democratic Left Party,Konya,Grand National Assembly,1999-04-18,2002-11-14
fb356ab6-5edd-4821-8e46-49eeed75d4eb,Abdullah Veli Seyda,,,Virtue Party,Şırnak,Grand National Assembly,1999-04-18,2002-11-14
6b9112aa-64b6-406d-b304-347c2840a061,Abdulsamet Turgut,,,Democratic Left Party,Diyarbakır,Grand National Assembly,1999-04-18,2002-11-14
4abb0e4a-3390-4263-9076-fcc1ce1e1304,Abdurrahman Küçük,,,Nationalist Movement Party,Ankara,Grand National Assembly,1999-04-18,2002-11-14
15840eec-4c32-4ad7-8aac-50ba247dc785,Abdülkadir Akcan,,,Nationalist Movement Party,Afyon,Grand National Assembly,1999-04-18,2002-11-14
13f3d779-3984-4369-8383-1b2b67166a1f,Abdülkadir Aksu,,,Virtue Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
4a808ff2-13bb-4e89-8c8c-27389e0fe8ac,Abdüllatif Şener,,,Virtue Party,Sivas,Grand National Assembly,1999-04-18,2002-11-14
85cdd1d4-07bb-4e14-940b-1de0078badb7,Adanan Uçaş,,,Nationalist Movement Party,Amasya,Grand National Assembly,1999-04-18,2002-11-14
c825d949-f2ef-47a3-b333-d7652d45ba2d,Adnan Fatin Özdemir,,,Nationalist Movement Party,Adana,Grand National Assembly,1999-04-18,2002-11-14
e677c2e9-6f6d-46c1-9007-4a2bc22b3bc5,Agah Oktay Güner,,,Motherland Party,Balıkesir,Grand National Assembly,1999-04-18,2002-11-14
616885d4-dca6-4ca4-b4dd-e5ba302328a3,Ahmet Arkan,,,Democratic Left Party,Kocaeli,Grand National Assembly,1999-04-18,2002-11-14
ada948d9-2172-4cf2-907f-fb9e0f9773e3,Ahmet Aydın,,,Nationalist Movement Party,Samsun,Grand National Assembly,1999-04-18,2002-11-14
78bb7e68-7f26-41ed-994a-514ffe1325b6,Ahmet Cemil Tunç,,,Virtue Party,Elazığ,Grand National Assembly,1999-04-18,2002-11-14
8a6f3285-cac7-4fb8-9c40-28364be9e88a,Ahmet Demircan,,,Virtue Party,Samsun,Grand National Assembly,1999-04-18,2002-11-14
6306ae11-6424-4a55-91b4-ab366e3fcabe,Ahmet Derin,,,Virtue Party,Kütahya,Grand National Assembly,1999-04-18,2002-11-14
11f439c9-9340-4bd9-be97-86c75baf12a4,Ahmet Erol Ersoy,,,Nationalist Movement Party,Yozgat,Grand National Assembly,1999-04-18,2002-11-14
ba2331ec-bc5e-4ede-af98-bb6877657d97,Ahmet Güzel,,,Democratic Left Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
75ff25da-2e0c-4faa-99f9-22fc538b7d52,Ahmet Kabil,,,Motherland Party,Rize,Grand National Assembly,1999-04-18,2002-11-14
9e69bd60-fd04-4734-9e2b-a671c7d971eb,Ahmet Karavar,,,Virtue Party,Şanlıurfa,Grand National Assembly,1999-04-18,2002-11-14
5179ee28-7072-4831-bd42-2e76b02120c4,Ahmet Kenan Tanrıkulu,,,Nationalist Movement Party,İzmir,Grand National Assembly,1999-04-18,2002-11-14
ac7e1c64-590e-42c8-a1bf-71758bc4ecad,Ahmet Mesut Yılmaz,,,Motherland Party,Rize,Grand National Assembly,1999-04-18,2002-11-14
0684c855-a121-4b67-9dbb-3eb3eb8c1e88,Ahmet Nurettin Aydın,,,Virtue Party,Siirt,Grand National Assembly,1999-04-18,2002-11-14
79a4634e-3af5-4a87-a031-a631342e5b03,Ahmet Sancar Sayın,,,Democratic Left Party,Antalya,Grand National Assembly,1999-04-18,2002-11-14
ec2f4a1c-54cb-4c15-8b6b-ee1429caf225,Ahmet Sünnetçioğlu,,,Virtue Party,Bursa,Grand National Assembly,1999-04-18,2002-11-14
6b9400a9-6a86-4a36-9812-ea8d3c9b07dd,Ahmet Tan,,,Democratic Left Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
24a1ed18-6306-4d63-bccf-d001f2b4416f,Ahmet Zamantılı,,,Democratic Left Party,Tekirdağ,Grand National Assembly,1999-04-18,2002-11-14
f3e8c3c9-c5a1-4b0d-bdbb-08e0cce47048,Ahmet Ziya Aktaş,,,Democratic Left Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
703e8e11-3d9a-4a4f-a3eb-30a22ead3079,Ahmet Çakar,,,Nationalist Movement Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
2a909433-1f99-42f1-a727-ba67d8b9bcd7,Ahmet İyimaya,,,True Path Party,Amasya,Grand National Assembly,1999-04-18,2002-11-14
be31b9a3-d104-4203-b95d-4b549eefc249,Akif Gülle,,,Virtue Party,Amasya,Grand National Assembly,1999-04-18,2002-11-14
ca262152-0ec3-40aa-8647-f490c9f1d927,Akif Serin,,,Democratic Left Party,Mersin,Grand National Assembly,1999-04-18,2002-11-14
3d925000-7e1f-4d00-845b-9d2f0f8e3abf,Alaattin Sever Aydın,,,Virtue Party,Batman,Grand National Assembly,1999-04-18,2002-11-14
7b81b4ac-164b-4503-9dc8-d46b790535be,Ali Ahmet Ertürk,,,Democratic Left Party,Edirne,Grand National Assembly,1999-04-18,2002-11-14
5f0768ff-a54a-4a11-ba64-9c1d17ca7d6a,Ali Arabacı,,,Democratic Left Party,Bursa,Grand National Assembly,1999-04-18,2002-11-14
b31a0b1e-80d1-4fbd-989d-16b63da87ac6,Ali Coşkun,,,Virtue Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
33d782c6-0777-4b1d-b306-f2a1f5334600,Ali Doğan,,,Motherland Party,Kahramanmaraş,Grand National Assembly,1999-04-18,2002-11-14
7105a0ef-c3db-444f-968f-beb9659f5142,Ali Emre Kocaoğlu,,,Motherland Party,İstanbul,Grand National Assembly,1999-04-18,2002-11-14
d3504c94-2a67-41d1-b045-e7f2447c8dc1,Ali Er,,,Motherland Party,Mersin,Grand National Assembly,1999-04-18,2002-11-14
1bbd05ad-45e4-4340-ae3e-17363b4b4055,Ali Gebeş,,,Nationalist Movement Party,Konya,Grand National Assembly,1999-04-18,2002-11-14
a0709de5-f143-418e-b6f4-e9969ce21e39,Ali Gören,,,Virtue Party,Adana,Grand National Assembly,1999-04-18,2002-11-14
9d4f3293-8ddc-4d79-a9bf-a8b8221d3936,Ali Günay,,,Democratic Left Party,Hatay,Grand National Assembly,1999-04-18,2002-11-14
99d87872-d9cd-4564-92d5-de25559935ac,Ali Güner,,,Virtue Party,Iğdır,Grand National Assembly,1999-04-18,2002-11-14
5bdb7c2f-c552-4bea-9937-0e982e9f66b3,Ali Güngör,,,Nationalist Movement Party,Mersin,Grand National Assembly,1999-04-18,2002-11-14
1af76fda-7d62-41d7-b283-029a0eb5f5c5,Ali Halaman,,,Nationalist Movement Party,Adana,Grand National Assembly,1999-04-18,2002-11-14
57871109-9d48-48d5-90b6-987ed3ef12bc,Ali Ilıksoy,,,Democratic Left Party,Gaziantep,Grand National Assembly,1999-04-18,2002-11-14
0266b8a6-e424-417f-a360-35dab8bb534b,Ali Işıklar,,,Nationalist Movement Party,Ankara,Grand National Assembly,1999-04-18,2002-11-14
234fc8aa-a0cb-42c2-b733-5800c9fd73c0,Ali Kemal Başaran,,,Motherland Party,Trabzon,Grand National Assembly,1999-04-18,2002-11-14
05c1b707-b9c7-4213-81ee-db77dbe70c47,Ali Keskin,,,Nationalist Movement Party,Denizli,Grand National Assembly,1999-04-18,2002-11-14
e246308d-928d-4315-8e13-21c644206986,Ali Naci Tuncer,,,True Path Party,Trabzon,Grand National Assembly,1999-04-18,2002-11-14
9758f5a8-d430-4ea7-a44c-ac3f2b4f2c88,Ali Rahmi Beyreli,,,Democratic Left Party,Bursa,Grand National Assembly,1999-04-18,2002-11-14
93b2520e-c1e6-4210-b75c-d7a7cec6fbee,Ali Rıza Gönül,,,True Path Party,Aydın,Grand National Assembly,1999-04-18,2002-11-14
