id,name,email,twitter,group,area,chamber,start_date,end_date
14013,Adam Ingram,,,Scottish National Party,South of Scotland,Scottish Parliament,1999-05-06,2003-03-31
10441,Alasdair Morgan,,,Scottish National Party,Galloway and Upper Nithsdale,Scottish Parliament,1999-05-06,2003-03-31
14067,Alasdair Morrison,,,Labour,Western Isles,Scottish Parliament,1999-05-06,2003-03-31
13985,Alex Fergusson,,,Conservative,South of Scotland,Scottish Parliament,1999-05-06,2003-03-31
14020,Alex Johnstone,,,Conservative,North East Scotland,Scottish Parliament,1999-05-06,2003-03-31
14071,Alex Neil,,,Scottish National Party,Central Scotland,Scottish Parliament,1999-05-06,2003-03-31
10525,Alex Salmond,,,Scottish National Party,Banff and Buchan,Scottish Parliament,1999-05-06,2001-05-14
14121,Allan Wilson,,,Labour,Cunninghame North,Scottish Parliament,1999-05-06,2003-03-31
10628,Andrew Welsh,,,Scottish National Party,Angus,Scottish Parliament,1999-05-06,2003-03-31
14122,Andrew Wilson,,,Scottish National Party,Central Scotland,Scottish Parliament,1999-05-06,2003-03-31
14023,Andy Kerr,,,Labour,East Kilbride,Scottish Parliament,1999-05-06,2003-03-31
14033,Angus MacKay,,,Labour,Edinburgh South,Scottish Parliament,1999-05-06,2003-03-31
13998,Annabel Goldie,,,Conservative,West of Scotland,Scottish Parliament,1999-05-06,2003-03-31
11668,Ben Wallace,,,Conservative,North East Scotland,Scottish Parliament,1999-05-06,2003-03-31
13945,Bill Aitken,,,Conservative,Glasgow,Scottish Parliament,1999-05-06,2003-03-31
13963,Bill Butler,,,Labour,Glasgow Anniesland,Scottish Parliament,2000-11-23,2003-03-31
13943,Brian Adam,,,Scottish National Party,North East Scotland,Scottish Parliament,1999-05-06,2003-03-31
13988,Brian Fitzpatrick,,,Labour,Strathkelvin and Bearsden,Scottish Parliament,2001-06-07,2003-03-31
14066,Brian Monteith,,,Conservative,Mid Scotland and Fife,Scottish Parliament,1999-05-06,2003-03-31
14068,Bristow Muldoon,,,Labour,Livingston,Scottish Parliament,1999-05-06,2003-03-31
13971,Bruce Crawford,,,Scottish National Party,Mid Scotland and Fife,Scottish Parliament,1999-05-06,2003-03-31
13970,Cathie Craigie,,,Labour,Cumbernauld and Kilsyth,Scottish Parliament,1999-05-06,2003-03-31
14017,Cathy Jamieson,,,Labour,"Carrick, Cumnock and Doon Valley",Scottish Parliament,1999-05-06,2003-03-31
14077,Cathy Peattie,,,Labour,Falkirk East,Scottish Parliament,1999-05-06,2003-03-31
14000,Christine Grahame,,,Scottish National Party,South of Scotland,Scottish Parliament,1999-05-06,2003-03-31
13965,Colin Campbell,,,Scottish National Party,West of Scotland,Scottish Parliament,1999-05-06,2003-03-31
13974,David Davidson,,,Conservative,North East Scotland,Scottish Parliament,1999-05-06,2003-03-31
14058,David McLetchie,,,Conservative,Lothians,Scottish Parliament,1999-05-06,2003-03-31
11970,David Mundell,,,Conservative,South of Scotland,Scottish Parliament,1999-05-06,2003-03-31
13337,David Steel,,,None,Lothians,Scottish Parliament,1999-05-06,1999-05-11
13337,David Steel,,,None,Lothians,Scottish Parliament,1999-05-12,2003-05-06
10091,Dennis Canavan,,,Independent,Falkirk West,Scottish Parliament,1999-05-06,2003-03-31
14063,Des McNulty,,,Labour,Clydebank and Milngavie,Scottish Parliament,1999-05-06,2003-03-31
10168,Donald Dewar,,,Labour,Glasgow Anniesland,Scottish Parliament,1999-05-06,2000-10-11
10237,Donald Gorrie,,,Liberal Democrat,Central Scotland,Scottish Parliament,1999-05-06,2003-03-31
