id,name,email,twitter,group,area,chamber,start_date,end_date
54c6931d808848fe5d749d2a,Alex Ahrendtsen,,,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749d54,Anders Samuelsen,,anderssamuelsen,Liberal Alliance,,Folketing,2011-09-15,""
54c6931d808848fe5d749d6a,Andreas Frost Steenberg,,a_steenberg,Danish Social Liberal Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749d74,Ane Halsboe-Jørgensen,,AneHalsboe,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749d9f,Anne Sina,,Anne_Sina,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749da8,Anne-Mette Winther Christiansen,,AMWintherC,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749db1,Annette Lind,,annette_lind,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749db7,Annette Vilhelmsen,,a_vilhelmsen,Socialist People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749dbe,Anni Matthiesen,,AnniMatthiesen,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749dcb,Astrid Krag,,Astridkrag,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749ddb,Benny Engelbrecht,,BennyEngelbrech,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749de5,Bent Bøgsted,,,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749df5,Bertel Haarder,,BHaarder,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749e0c,Bjarne Corydon,,,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749e14,Bjarne Laustsen,,,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749e29,Brian Mikkelsen,,BrianMikkelsenC,Conservative People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749e39,Camilla Hersom,,CamillaHersom,Danish Social Liberal Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749e52,Carsten Hansen,,,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749e79,Christian Juhl,,ChristianJuhl2,Red–Green Alliance,,Folketing,2011-09-15,""
54c6931d808848fe5d749e7f,Christian Langballe,,,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749e90,Christine Antorini,,Antorini123,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749e9b,Claus Hjort Frederiksen,,,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749ec0,Daniel Rugholm,,rugholm,Conservative People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749ecd,Dennis Flydtkjær,,flydtkjaer,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749eeb,Eigil Andersen,,Eigil_SF,Socialist People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749ef9,Ellen Trane Nørby,,EllenTraneNorby,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f17,Erling Bonnesen,,,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f1d,Esben Lunde Larsen,,,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f23,Eva Kjer Hansen,,EvaKjerHansen,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f29,Fatma Øktem,,fatmaoektem,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f31,Finn Sørensen,,elfinns,Red–Green Alliance,,Folketing,2011-09-15,""
54c6931d808848fe5d749f37,Finn Thranum,,,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f3c,Flemming Damgaard Larsen,,FlemmingDL,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f42,Flemming Møller Mortensen,,FlemmingMoller,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749f7c,Hans Andersen,,HansAndersenV,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f84,Hans Chr. Schmidt,,,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f87,Hans Chr. Thoning,,ThoningVenstre,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d749f8e,Hans Kristian Skibby,,BundgaardSkibby,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749fa2,Helge Vagn Jacobsen,,,Danish Social Liberal Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749fb3,Helle Løvgreen Mølvig,,HelleMolvig,Danish Social Liberal Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749fba,Helle Thorning-Schmidt,,,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749fc1,Henning Hyllested,,,Red–Green Alliance,,Folketing,2011-09-15,""
54c6931d808848fe5d749fd8,Henrik Dam Kristensen,,,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749fe6,Henrik Sass Larsen,,SosseSass,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d749ff0,Holger K. Nielsen,,,Socialist People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749ff8,Ib Poulsen,,,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d749ffc,Ida Auken,,IdaAuken,Danish Social Liberal Party,,Folketing,2011-09-15,""
54c6931d808848fe5d74a00a,Inger Støjberg,,Stoejberg,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a018,Jacob Jensen,,jacobjensenMF,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a02b,Jakob Ellemann-Jensen,,JakobEllemann,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a031,Jakob Engel-Schmidt,,engelschmidt,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a044,Jan E. Jørgensen,,JanEJoergensen,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a04d,Jan Johansen,,janjohansen16,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d74a059,Jane Heitmann,,JaneHeitmann,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a062,Jens Ejner Christensen,,,Venstre,,Folketing,2011-09-15,""
54c6931d808848fe5d74a06a,Jens Henrik Thulesen Dahl,,,Danish People‘s Party,,Folketing,2011-09-15,""
54c6931d808848fe5d74a06e,Jens Joel,,Jens_Joel,Social Democrats,,Folketing,2011-09-15,""
54c6931d808848fe5d74a07c,Jeppe Bruus,,JeppeBruus,Social Democrats,,Folketing,2011-09-15,""
