id,name,email,twitter,group,area,chamber,start_date,end_date
arnbjörg_sveinsdóttir,Arnbjörg Sveinsdóttir,,,Independence Party,Northeast,Alþingi,2007,2009
bjarni_harðarson,Bjarni Harðarson,,,Progressive Party,South,Alþingi,2007,2008
björk_guðjónsdóttir,Björk Guðjónsdóttir,,,Independence Party,South,Alþingi,2007,2009
björn_bjarnason,Björn Bjarnason,,,Independence Party,Reykjavik South,Alþingi,2007,2009
einar_kristjánsson,Einar Kristjánsson,,,Independence Party,Northwest,Alþingi,2007-07-14,2009
einar_sigurðsson,Einar Sigurðsson,,,Social Democratic Alliance,Northeast,Alþingi,2007,2009
ellert_schram,Ellert Schram,,,Social Democratic Alliance,Reykjavik North,Alþingi,2007,2009
geir_haarde,Geir Haarde,,,Independence Party,Reykjavik South,Alþingi,2007,2009
grétar_jónsson,Grétar Jónsson,,,Liberal Party,South,Alþingi,2007,2009
gunnar_svavarsson,Gunnar Svavarsson,,,Social Democratic Alliance,Southwest,Alþingi,2007,2009
guðfinna_bjarnadóttir,Guðfinna Bjarnadóttir,,,Independence Party,Reykjavik North,Alþingi,2007,2009
guðjón_kristjánsson,Guðjón Kristjánsson,,,Liberal Party,Northwest,Alþingi,2007,2009
guðni_Ágústsson,Guðni Ágústsson,,,Progressive Party,South,Alþingi,2007,2008-11-17
helga_harðardóttir,Helga Harðardóttir,,,Progressive Party,South,Alþingi,2008,2009
herdís_Þórðardóttir,Herdís Þórðardóttir,,,Independence Party,Northwest,Alþingi,2007,2007-07-14
ingibjörg_gísladóttir,Ingibjörg Gísladóttir,,,Social Democratic Alliance,Reykjavik South,Alþingi,2007,2009
jón_magnússon,Jón Magnússon,,,Independence Party,Reykjavik South,Alþingi,2009,2009
karl_matthíasson,Karl Matthíasson,,,Liberal Party,Northwest,Alþingi,2009,2009
kjartan_Ólafsson,Kjartan Ólafsson,,,Independence Party,South,Alþingi,2007,2009
kolbrún_halldórsdóttir,Kolbrún Halldórsdóttir,,,Left-Green Movement,Reykjavik South,Alþingi,2007,2009
kristinn_gunnarsson,Kristinn Gunnarsson,,,Independent,Northwest,Alþingi,2009,2009
lúðvík_bergvinsson,Lúðvík Bergvinsson,,,Social Democratic Alliance,South,Alþingi,2007,2009
magnús_stefánsson,Magnús Stefánsson,,,Progressive Party,Northwest,Alþingi,2007,2009
sigurður_kristjánsson,Sigurður Kristjánsson,,,Independence Party,Reykjavik North,Alþingi,2007,2009
sturla_böðvarsson,Sturla Böðvarsson,,,Independence Party,Northwest,Alþingi,2007,2009
valgerður_sverrisdóttir,Valgerður Sverrisdóttir,,,Progressive Party,Northeast,Alþingi,2007,2009
Ágúst_Ágústsson,Ágúst Ágústsson,,,Social Democratic Alliance,Reykjavik South,Alþingi,2007,2009
Ármann_Ólafsson,Ármann Ólafsson,,,Independence Party,Southwest,Alþingi,2007,2009
Árni_mathiesen,Árni Mathiesen,,,Independence Party,South,Alþingi,2007,2009
Ásta_möller,Ásta Möller,,,Independence Party,Reykjavik South,Alþingi,2007,2009
